DeviceID,PeripheralID,Name,MotionType,PositionScale,VelocityScale,AccelerationScale,ForceScale,IsScaleResolutionDependent,
6222,0,T-LSM050B-SV2M04 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6225,0,T-LSM050B-SV1 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6226,0,T-LSM050B-SV2 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6310,0,T-LSM100A Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6311,0,T-LSM100A-S Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6312,0,T-LSM100A-SV2M04 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6313,0,T-G-LSM100A Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6315,0,T-LSM100A-SV1 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6316,0,T-LSM100A-SV2 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6320,0,T-LSM100B Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6321,0,T-LSM100B-S Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6322,0,T-LSM100B-SV2M04 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6323,0,T-G-LSM100B Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6325,0,T-LSM100B-SV1 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6326,0,T-LSM100B-SV2 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6410,0,T-LSM200A Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6411,0,T-LSM200A-S Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6412,0,T-LSM200A-SV2M04 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6414,0,T-G-LSM200A Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6415,0,T-LSM200A-SV1 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6416,0,T-LSM200A-SV2 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6420,0,T-LSM200B Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6421,0,T-LSM200B-S Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6422,0,T-LSM200B-SV2M04 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6424,0,T-G-LSM200B Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6425,0,T-LSM200B-SV1 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6426,0,T-LSM200B-SV2 Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
6510,0,T-LSM150A Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6511,0,T-LSM150A-S Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6512,0,T-LSM150A-SV2M04 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6515,0,T-LSM150A-SV1 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6516,0,T-LSM150A-SV2 Stage,Linear,328083.9895,34995.62555,29.163021,0,1,
6520,0,T-LSM150B Stage,Linear,82020.99738,8748.906387,7.290755,0,1,
